meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.164389079,0.058062466,0.177875137,0.104271632,0.203636364,0.099364732,1.631304585,5.18902383,0.917178547,0.437833414,0.18584885,0.164389079,0.103429101,0.015952144,0.275862069,1.1046875,0.1015625,3.7421875,3.640625,0.360693848,male
0.13755588,0.086889033,0.173206198,0.045387366,0.212586412,0.167199046,1.210789535,3.693392976,0.954676022,0.704138526,0.199570918,0.13755588,0.198798422,0.077669903,0.275862069,0.520220588,0.0078125,3.2265625,3.21875,0.194023058,female
0.234016328,0.033883018,0.236537313,0.220656716,0.254925373,0.034268657,1.881389185,5.789723321,0.831456803,0.168651964,0.221910448,0.234016328,0.197109286,0.048,0.279069767,0.90625,0.0234375,5.1796875,5.15625,0.114593301,female
0.189160077,0.061119498,0.181176471,0.130795848,0.251418685,0.120622837,1.946460815,6.988439127,0.896268771,0.363159394,0.125467128,0.189160077,0.121430013,0.047808765,0.275862069,1.200457317,0.0234375,5.15625,5.1328125,0.096611391,male
0.158369018,0.057188307,0.168073636,0.15739645,0.181328074,0.023931624,5.657859375,40.79593414,0.873598799,0.45126618,0.167153189,0.158369018,0.155522989,0.034482759,0.256410256,0.443584736,0.034179688,3.779296875,3.745117188,0.157601043,female
0.195680246,0.059588656,0.221933842,0.130025445,0.248295165,0.11826972,2.477426098,9.361352222,0.880763007,0.314705323,0.240814249,0.195680246,0.125406013,0.054298643,0.277456647,1.091145833,0.0234375,5.390625,5.3671875,0.14819869,male
0.186753021,0.061142134,0.168152174,0.14,0.246521739,0.106521739,1.686369762,5.338942085,0.903638257,0.411080159,0.147608696,0.186753021,0.128691217,0.047012733,0.272727273,1.862413194,0.0234375,10.2890625,10.265625,0.140836243,male
0.183495166,0.067946334,0.206497726,0.157920728,0.230695257,0.072774529,2.249872274,7.938165258,0.935247629,0.611967177,0.230877193,0.183495166,0.149573845,0.015686275,0.253968254,0.198939732,0.0546875,0.3203125,0.265625,0.191764706,female
0.192210007,0.059398895,0.207846154,0.130307692,0.241769231,0.111461538,1.42684472,4.458300837,0.908975227,0.402723755,0.243384615,0.192210007,0.125783522,0.047477745,0.277456647,0.979940878,0.0234375,4.640625,4.6171875,0.1586657,male
0.207734372,0.059733767,0.238623482,0.145101215,0.25902834,0.113927126,2.136281424,7.610233808,0.870059086,0.285756221,0.260161943,0.207734372,0.136535986,0.04743083,0.268156425,1.879136029,0.1640625,7.734375,7.5703125,0.179373065,male
0.212810959,0.037712458,0.214358323,0.191232529,0.238551461,0.047318933,1.475016057,4.625508652,0.889585921,0.200500496,0.215069886,0.212810959,0.174615105,0.018518519,0.271186441,1.007512019,0.1640625,6.125,5.9609375,0.200296313,female
