meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx
0.21044863,0.052837553,0.226050955,0.164076433,0.256369427,0.092292994,1.131715081,3.525652764,0.907179727,0.330050303,0.266624204,0.21044863,0.141641622,0.047952048,0.274285714,1.586348684,0.0234375,7.7109375,7.6875,0.069826908
0.168612886,0.053763393,0.179114504,0.167572519,0.195358779,0.02778626,3.524902756,17.31994483,0.85607933,0.375274881,0.179114504,0.168612886,0.169659735,0.01816118,0.205128205,0.258300781,0.15625,0.796875,0.640625,0.133333333
0.200690375,0.056684644,0.218593103,0.140193103,0.248331034,0.108137931,1.660786326,6.111322443,0.901727714,0.302581831,0.253351724,0.200690375,0.12404976,0.047058824,0.279069767,1.309943182,0.0234375,7.6875,7.6640625,0.134616538
0.202975109,0.054819089,0.217581864,0.192191436,0.234861461,0.042670025,1.973285142,6.682661708,0.898098696,0.43828812,0.225692695,0.202975109,0.177603286,0.048484848,0.275862069,1.47234375,0.0234375,5.953125,5.9296875,0.126114533
0.165454626,0.057518281,0.175461201,0.110073206,0.207437775,0.097364568,1.299596611,4.753102129,0.938387449,0.475869687,0.091215227,0.165454626,0.093656577,0.01750547,0.235294118,0.707981419,0.09375,6.5234375,6.4296875,0.100951802
0.172459445,0.059077863,0.178675283,0.111728595,0.213957997,0.102229402,1.473990421,5.318154553,0.919637004,0.36073726,0.209886914,0.172459445,0.091119875,0.016343207,0.161616162,0.348144531,0.0859375,2.8828125,2.796875,0.074115456
0.209567347,0.031483334,0.212592593,0.199031339,0.223361823,0.024330484,3.619352285,19.51228757,0.818327642,0.202901217,0.214188034,0.209567347,0.171970462,0.047477745,0.275862069,1.408547794,0.0234375,6.6328125,6.609375,0.123034228
0.149952702,0.087753302,0.167096774,0.060516129,0.228516129,0.168,2.007897095,9.596586412,0.965018756,0.783827037,0.050129032,0.149952702,0.135786869,0.016753927,0.275862069,0.1875,0.03125,0.65625,0.625,0.26875
0.162226813,0.081261044,0.145241661,0.116841389,0.245309735,0.128468346,1.858825539,6.937401716,0.94002076,0.601017705,0.133424098,0.162226813,0.134081632,0.02484472,0.275862069,0.7503125,0.0078125,4.453125,4.4453125,0.146634064
0.199545914,0.044114366,0.200567376,0.168794326,0.233829787,0.065035461,0.993052083,3.453136815,0.906230353,0.274208947,0.181702128,0.199545914,0.149995957,0.050579557,0.274285714,1.415039063,0.0234375,8.5078125,8.484375,0.109899955
